"cn","plotclass"
81604143010478,3
175742143010854,1
175742658010854,2
148494853010478,2
106285287010478,3
148495609010478,2
106285976010478,3
139994733010854,2
22336916010478,3
148496209010478,2
81606810010478,2
106286710010478,3
148496954010478,3
148497142010478,3
175742588010854,1
38869190010478,1
38869982010478,3
81600563010478,3
81601112010478,1
81601623010478,3
38874687010478,1
148491662010478,2
38875521010478,3
175742630010854,3
22345850010478,1
139994685010854,2
148492459010478,3
106276528010478,3
139994687010854,1
29101765010478,1
81642277010478,3
148506305010478,2
175742839010854,3
81617217010478,2
148506752010478,2
81617282010478,2
175742849010854,3
81618164010478,3
148507987010478,3
81618941010478,2
175742862010854,2
22348314010478,2
148441528010478,1
148452387010478,1
81665338010478,3
81668479010478,3
38899824010478,2
38934209010478,2
175742713010854,2
38929868010478,1
175742356010854,2
175742790010854,2
106311357010478,1
175742954010854,3
175742957010854,3
81628677010478,1
38856452010478,2
38856617010478,3
22348972010478,3
22342922010478,3
81629710010478,2
106313107010478,2
175742568010854,3
148434436010478,3
148493117010478,3
22331770010478,1
106337626010478,2
38951756010478,1
81664575010478,2
22302619010478,1
38952364010478,3
139994970010854,3
38866413010478,3
148454344010478,1
38956739010478,3
81646342010478,2
106318817010478,2
148443088010478,2
175742314010854,1
22341884010478,1
38931426010478,2
38931569010478,3
175742178010854,1
148440435010478,3
106319688010478,2
148440896010478,3
81647687010478,3
22305259010478,2
38933359010478,1
175742892010854,3
38846344010478,2
22342418010478,1
106307403010478,1
81625072010478,3
38847343010478,3
81625779010478,2
106308435010478,2
81626500010478,3
22301647010478,1
38851381010478,2
106309533010478,2
175742642010854,3
139994974010854,3
38884813010478,3
22301151010478,1
139994805010854,3
38898712010478,2
106296416010478,3
38901564010478,2
175742769010854,3
38902097010478,2
148501615010478,1
81611518010478,1
22347129010478,3
148501878010478,3
38903458010478,3
106297777010478,1
38904132010478,2
175742788010854,1
81613282010478,2
38907640010478,2
22300573010478,1
81613405010478,1
38909488010478,1
175742806010854,3
175742172010854,2
148490116010478,3
38871801010478,3
38871952010478,2
175742603010854,3
81600954010478,1
22303500010478,2
106274996010478,2
81601187010478,1
106275124010478,2
81602297010478,2
175742616010854,2
81602692010478,2
175742628010854,1
175742631010854,1
175742639010854,3
106320031010478,1
175742334010854,1
81648496010478,1
139994397010854,2
175742342010854,2
148443011010478,1
139994403010854,2
139994406010854,2
38935813010478,2
148443714010478,3
38936440010478,2
106322580010478,2
139994417010854,1
106297976010478,1
106298055010478,1
148502604010478,1
81613005010478,1
39026488010478,1
22334824010478,3
148463667010478,2
139994541010854,1
175742493010854,2
38952308010478,3
81665039010478,1
139994561010854,1
38952642010478,1
81666262010478,1
81666560010478,2
175742529010854,2
148466471010478,1
139994589010854,1
148455321010478,3
22349357010478,3
175742195010854,1
106332234010478,2
38918660010478,3
38918930010478,3
106332607010478,3
38919873010478,1
81639084010478,2
22349509010478,3
106333981010478,3
38921077010478,2
22349653010478,2
148458389010478,3
139994304010854,3
38923492010478,3
22350242010478,1
106318275010478,3
81627042010478,3
81615053010478,2
81615269010478,3
175742821010854,3
38912162010478,1
81615592010478,2
175742824010854,2
38912730010478,2
175742829010854,2
38912971010478,3
106302034010478,2
38914236010478,2
106302738010478,3
139994762010854,2
148498414010478,3
81608107010478,1
139994879010854,3
38914823010478,2
81617671010478,3
22301011010478,2
139994883010854,2
175742851010854,3
38915272010478,3
148507433010478,3
175742854010854,3
175742857010854,3
81618754010478,2
148508128010478,1
22347791010478,2
38916113010478,3
38916221010478,3
22338420010478,1
175742870010854,3
148509399010478,1
175742871010854,2
38918853010478,3
148442509010478,1
22346601010478,2
106294123010478,3
81608715010478,2
38893164010478,2
148499092010478,2
139994778010854,1
139994779010854,2
148499188010478,1
38894569010478,1
139994783010854,3
175742733010854,1
38896087010478,2
139994790010854,1
106295653010478,3
139994794010854,1
139994801010854,3
81610402010478,3
148500652010478,2
175742750010854,1
38898367010478,3
22347944010478,3
148510346010478,2
148510759010478,2
175742881010854,1
106305272010478,1
22338623010478,3
148511808010478,3
106306123010478,1
38844618010478,1
38844951010478,2
175742898010854,2
106329133010478,2
106329245010478,2
175742169010854,1
139994481010854,1
106329341010478,1
175742432010854,2
148451709010478,3
139994496010854,2
106330460010478,2
22331548010478,1
106330548010478,1
29100598010478,2
38947663010478,2
106331089010478,2
38948031010478,1
38948316010478,1
175742461010854,2
22334733010478,3
81663218010478,3
38948891010478,3
139994527010854,1
175742359010854,1
38936921010478,2
175742916010854,3
81625597010478,2
106308053010478,1
175742921010854,2
38849587010478,3
106308351010478,3
38850867010478,1
175742934010854,1
139994963010854,2
38911277010478,2
175742822010854,1
139994571010854,1
38955516010478,1
81668124010478,1
175742823010854,2
81661862010478,1
22302331010478,3
106335865010478,3
106336575010478,2
106336723010478,1
81654175010478,3
106323065010478,2
148445128010478,2
22330873010478,1
175742174010854,1
29099802010478,3
81655800010478,1
148445949010478,3
81656286010478,2
106325005010478,1
22331054010478,1
106315962010478,2
38927420010478,2
38927747010478,1
139994344010854,1
106316435010478,1
106322671010478,2
38955799010478,3
22332264010478,3
81668064010478,3
106341165010478,3
38958085010478,1
22332189010478,2
106328503010478,1
38944095010478,1
148450632010478,2
139994474010854,3
148450719010478,2
22306737010478,2
148450957010478,3
106315641010478,3
139994446010854,3
38941118010478,3
106326114010478,1
106326150010478,1
81638696010478,1
148456961010478,2
22349633010478,1
106334726010478,2
81640932010478,3
22350263010478,1
81646189010478,3
22330395010478,3
175742310010854,1
175742311010854,2
175742315010854,1
175742322010854,1
139994384010854,2
175742329010854,3
106311221010478,1
38940504010478,3
175742391010854,3
139994452010854,1
106326026010478,3
38941272010478,2
81654249010478,2
139994421010854,2
106305513010478,1
139994921010854,3
38843457010478,3
148511568010478,2
175742893010854,1
139994928010854,1
106306225010478,2
148512054010478,2
175742170010854,1
81624955010478,3
22301451010478,1
22348543010478,1
38846221010478,3
175742911010854,1
175742915010854,2
38947304010478,1
106338586010478,3
175742604010854,2
106296557010478,3
139994809010854,2
38899671010478,3
175742758010854,1
175742407010854,1
175742408010854,2
148449992010478,2
106328146010478,1
38923907010478,1
175742132010854,2
38924070010478,2
175742247010854,3
148460539010478,2
106314173010478,3
38924877010478,3
175742270010854,3
139994864010854,2
81616251010478,3
22347977010478,2
106301205010478,3
81617159010478,2
22338226010478,2
139994882010854,2
38914997010478,2
22301038010478,2
22347730010478,3
139994886010854,3
148507825010478,3
22301083010478,1
175742856010854,1
139994351010854,2
81644878010478,3
148438410010478,3
22350146010478,1
38928668010478,2
81645679010478,3
81645843010478,2
139994821010854,3
148501182010478,2
175742773010854,3
139994824010854,2
175742777010854,3
38903366010478,1
22300430010478,1
139994828010854,2
38904253010478,1
81637451010478,3
148455718010478,1
139994260010854,3
139994262010854,1
22349410010478,1
175742205010854,3
148456316010478,2
106332982010478,2
139994271010854,3
38919933010478,3
106334067010478,1
175742214010854,2
22306155010478,1
38921509010478,2
38923219010478,2
175742303010854,1
38930596010478,1
38930782010478,1
22305100010478,1
81646605010478,2
22333535010478,1
175742321010854,1
38932818010478,1
81648033010478,1
175742337010854,3
106320557010478,1
175742427010854,1
175742140010854,1
106329477010478,3
39025594010478,2
22331479010478,2
175742441010854,3
148453685010478,3
38947553010478,1
22350205010478,1
175742296010854,3
139994366010854,2
106331324010478,2
22349313010478,3
106331445010478,3
38917341010478,3
148455492010478,2
38918143010478,3
139994258010854,1
22339654010478,2
148455994010478,3
106332506010478,1
22349433010478,1
38918990010478,1
175742204010854,2
106332855010478,2
81657690010478,2
139994454010854,2
81657804010478,3
106326553010478,2
38942323010478,3
38942455010478,3
175742404010854,2
139994307010854,1
22306318010478,3
81642614010478,3
38925861010478,3
38926007010478,3
106315387010478,3
81643398010478,1
175742266010854,3
148461361010478,1
175742273010854,2
175742274010854,3
139994338010854,1
175742275010854,1
38927589010478,2
148437479010478,2
175742277010854,3
148510962010478,3
175742885010854,2
38843133010478,2
22342266010478,3
22338596010478,3
139994606010854,3
175742501010854,1
175742138010854,1
139994365010854,2
22341786010478,1
38929507010478,1
22349684010478,3
38863316010478,2
38863720010478,2
106267121010478,1
148437304010478,2
38864679010478,2
81607551010478,2
81607661010478,3
22304344010478,1
38891480010478,2
175742716010854,2
22304459010478,1
38892749010478,3
148499026010478,3
38893784010478,2
175742726010854,3
175742727010854,1
106295083010478,1
139994785010854,2
106295516010478,3
148499998010478,3
22344975010478,2
139994478010854,1
106328991010478,1
175742177010854,1
38945134010478,3
175742426010854,3
38945230010478,1
175742434010854,2
139994492010854,3
148451783010478,2
81660759010478,1
22331454010478,2
139994494010854,3
175742435010854,2
175742436010854,3
22306962010478,3
38946593010478,1
139994508010854,3
38947166010478,2
38947401010478,2
39024514010478,3
175742239010854,2
175742190010854,3
106267196010478,1
22302260010478,2
139995030010854,2
148497506010478,1
22304332010478,1
38889946010478,2
148497859010478,3
106293763010478,3
175742715010854,1
106294170010478,1
38947703010478,3
148454036010478,2
81662328010478,2
148454593010478,2
139994524010854,2
81663049010478,2
81663141010478,3
106336352010478,1
81663408010478,2
106322977010478,1
81654539010478,2
81654695010478,3
106323263010478,1
38937337010478,1
175742363010854,1
106323982010478,1
175742155010854,1
38938835010478,3
148445848010478,2
139994435010854,2
38938980010478,3
81656098010478,2
175742370010854,3
148446240010478,1
39025285010478,3
139994438010854,1
148446603010478,3
38940055010478,3
139994444010854,2
22306456010478,1
106325614010478,1
81630821010478,2
148435417010478,3
139995016010854,3
148435911010478,3
139994932010854,1
106306814010478,2
175742905010854,2
139994940010854,1
22348589010478,1
175742720010854,2
139994771010854,1
22346629010478,3
175742724010854,3
106294745010478,1
81608963010478,2
106294861010478,2
139994780010854,3
22304527010478,1
38894685010478,2
81609647010478,1
175742738010854,2
175742739010854,2
175742740010854,3
175742741010854,2
139994613010854,2
106341899010478,3
175742559010854,1
175742560010854,2
175742168010854,2
175742563010854,2
81669081010478,1
22303160010478,1
81669372010478,1
81669802010478,1
38852012010478,3
22342634010478,3
106310253010478,1
106310305010478,3
175742940010854,1
175742943010854,3
148515093010478,3
38853873010478,1
38854012010478,3
175742946010854,2
81628425010478,2
38855370010478,3
148516617010478,2
139994985010854,1
148516778010478,1
38856982010478,3
106312407010478,2
139994988010854,2
38857292010478,2
139994992010854,1
38892407010478,1
81629794010478,3
81629885010478,3
81625357010478,2
148513344010478,3
148513578010478,3
106307977010478,3
38850130010478,2
106308627010478,3
106309379010478,2
148513992010478,1
22348737010478,2
22347481010478,1
106300765010478,2
139994863010854,2
106301053010478,3
38912425010478,3
148505393010478,3
38912832010478,2
81616415010478,1
38913082010478,1
38913589010478,1
38913767010478,3
22300960010478,3
106302530010478,3
175742745010854,3
106295958010478,1
38897882010478,1
106296130010478,2
175742752010854,2
139994804010854,1
106296224010478,3
81620402010478,2
22338510010478,2
148506666010478,2
38914553010478,2
81617828010478,2
22301031010478,2
22348117010478,1
81618468010478,1
106304269010478,1
81618858010478,1
175742860010854,1
175742861010854,2
22347815010478,1
81619355010478,3
81619722010478,2
106304659010478,3
139994901010854,2
38839468010478,1
148509561010478,2
148509695010478,2
175742193010854,2
175742208010854,3
38947052010478,1
81664138010478,3
81601276010478,1
139994666010854,2
175742609010854,1
139994667010854,2
22301973010478,1
106313473010478,2
148508093010478,1
148508690010478,2
38916921010478,1
148509328010478,1
22347874010478,2
139994902010854,3
38839578010478,1
22301218010478,1
148438801010478,2
175742295010854,2
22331529010478,3
148487022010478,1
22342876010478,3
148433955010478,1
148434367010478,1
22342934010478,1
38859004010478,2
148434655010478,3
22342978010478,3
139994999010854,1
106313630010478,2
81630206010478,3
38859727010478,3
148434941010478,3
81630667010478,2
106265807010478,3
148435320010478,2
81631064010478,2
38861530010478,3
81631846010478,2
38862388010478,1
22345728010478,2
81602434010478,1
175742627010854,1
38875797010478,3
139994682010854,3
106276445010478,3
22303745010478,3
38878137010478,3
175742469010854,1
22302463010478,2
106337003010478,3
106337158010478,2
38950709010478,1
139994540010854,2
22334931010478,3
81664424010478,1
38951238010478,1
38951452010478,2
175742492010854,3
22334978010478,3
139994555010854,3
139994556010854,3
175742495010854,1
22302677010478,2
81665747010478,3
106338879010478,3
175742165010854,1
38953972010478,1
106339577010478,3
139994585010854,2
22302858010478,1
139994587010854,3
175742530010854,3
148466616010478,1
38944348010478,1
81659401010478,3
81659578010478,1
148450838010478,2
81659677010478,1
106328899010478,1
38944969010478,1
148451186010478,2
106266186010478,3
139995017010854,3
81632063010478,2
22343119010478,3
175742158010854,2
175742163010854,2
148437115010478,1
175742518010854,1
38954429010478,1
38954582010478,3
38954663010478,1
148465728010478,2
38954786010478,3
175742818010854,1
139994343010854,2
38949148010478,2
39025790010478,3
106336963010478,1
81663885010478,2
22335305010478,2
38950621010478,2
175742482010854,2
139994549010854,2
38951683010478,3
38952080010478,3
175742526010854,2
139994584010854,1
39026224010478,1
38944653010478,2
175742420010854,2
175742137010854,1
81659940010478,3
175742423010854,2
148464176010478,3
106338365010478,1
175742509010854,3
38953789010478,2
106338974010478,2
139994869010854,1
148441040010478,3
38933240010478,1
148441144010478,2
106323883010478,2
22305628010478,1
175742167010854,1
139994436010854,3
175742149010854,1
175742150010854,1
22347509010478,1
148446126010478,2
81656383010478,1
22302426010478,2
22335273010478,2
175742479010854,3
175742491010854,2
139994552010854,1
81664846010478,3
106337889010478,3
175742154010854,1
139994488010854,3
38945644010478,3
38946250010478,2
81661738010478,2
175742453010854,3
22334673010478,1
22302404010478,2
139994529010854,1
22305523010478,1
175742358010854,1
22330813010478,1
139994427010854,3
22331954010478,1
139994560010854,2
106338407010478,2
81665139010478,1
38952777010478,3
38952873010478,3
175742506010854,1
139994565010854,1
38953865010478,1
81666631010478,3
139994583010854,1
175742528010854,3
175742531010854,1
106328367010478,1
106328790010478,3
175742419010854,2
175742176010854,1
175742179010854,1
81659757010478,1
81660099010478,2
22306807010478,3
22346845010478,2
139994798010854,3
139994803010854,2
175742753010854,1
22348353010478,1
175742879010854,3
175742889010854,1
22331153010478,3
81658108010478,3
81658262010478,2
175742142010854,1
175742212010854,1
148511427010478,2
81623984010478,2
139994922010854,3
81624133010478,3
148512024010478,3
38845079010478,2
81624527010478,3
81625507010478,2
139994865010854,3
38912503010478,1
139994866010854,2
148505706010478,1
175742828010854,1
81616481010478,3
106302237010478,1
106302399010478,1
148506344010478,3
175742840010854,1
106302845010478,2
38914455010478,2
38915106010478,1
106303319010478,2
38915186010478,1
106303451010478,2
139994890010854,1
106304119010478,2
81619152010478,2
81619273010478,3
175742864010854,2
148509227010478,1
175742868010854,3
106304886010478,3
22347884010478,1
175742191010854,3
175742373010854,1
175742663010854,1
139994752010854,3
139994884010854,3
148507352010478,2
38915628010478,2
139994346010854,2
139994566010854,2
148456771010478,3
148441771010478,3
175742394010854,1
22331136010478,3
175742395010854,2
106326392010478,1
148511305010478,1
81658411010478,2
106327702010478,1
22331237010478,2
38943463010478,3
38943573010478,3
175742410010854,1
81641515010478,2
175742130010854,3
106314068010478,3
81642348010478,3
106314417010478,1
106314782010478,3
38924976010478,1
106315029010478,2
148460982010478,1
148461038010478,2
175742269010854,2
38926980010478,3
38927666010478,3
22350060010478,3
139994345010854,1
38927952010478,1
22350072010478,1
175742281010854,1
175742283010854,1
139994349010854,1
81644946010478,3
175742291010854,1
106317300010478,3
38928776010478,1
106317391010478,3
148439083010478,1
106318078010478,1
22349689010478,2
38922159010478,3
148459371010478,3
148455147010478,1
38917243010478,3
106331555010478,2
175742263010854,3
38926253010478,2
139994332010854,2
22304784010478,3
38927499010478,3
148437392010478,3
148437809010478,3
175742184010854,1
38928179010478,3
148436533010478,1
81603191010478,3
22338457010478,1
139994763010854,1
106295774010478,3
175742691010854,3
139994740010854,3
175742146010854,2
38957901010478,3
106341502010478,1
22335812010478,3
29101430010478,1
175742553010854,3
38958275010478,1
22343547010478,3
148487596010478,3
175742562010854,2
106342336010478,3
22332504010478,3
106342954010478,1
139994628010854,2
148488756010478,2
106343534010478,3
22332647010478,3
148514354010478,2
175742936010854,1
38852763010478,1
175742939010854,2
148514548010478,2
22342687010478,2
22301731010478,1
106310653010478,3
139994972010854,1
81627920010478,3
38854359010478,2
175742173010854,3
22305410010478,2
81653156010478,1
38935721010478,3
139994410010854,2
175742352010854,2
175742354010854,2
81654096010478,1
22332245010478,1
139994597010854,1
139994599010854,3
38957094010478,1
22332333010478,1
38957686010478,1
38957742010478,3
38957842010478,1
81601429010478,3
81602200010478,3
22303738010478,3
22304205010478,1
81615421010478,1
22345576010478,3
106300818010478,1
81615793010478,3
175742826010854,1
139994868010854,1
106301402010478,3
38913272010478,1
81616797010478,1
148506214010478,2
39026804010478,1
175742841010854,2
38914713010478,2
139994885010854,3
106303537010478,2
81618617010478,3
38915832010478,2
106304221010478,1
175742859010854,1
22306613010478,3
139994464010854,1
106327643010478,2
139994466010854,3
106327809010478,2
175742409010854,3
139994468010854,3
38943794010478,3
38923993010478,2
106314617010478,1
106314872010478,2
22349898010478,2
22305285010478,3
148436039010478,2
106267047010478,2
22342893010478,2
22343458010478,1
139994614010854,1
139994631010854,2
139994637010854,2
139994650010854,1
139994662010854,2
148490928010478,1
139994689010854,1
139994694010854,3
139994750010854,3
139994767010854,2
139994768010854,3
139994774010854,3
22341051010478,1
175742131010854,3
175742139010854,1
175742157010854,3
175742166010854,2
22300371010478,3
81611476010478,3
81661944010478,2
175742348010854,1
175742355010854,1
175742361010854,3
106340988010478,1
148501308010478,3
139994826010854,2
22345380010478,3
106318639010478,1
148440123010478,1
106322145010478,2
175742505010854,3
106338469010478,2
81665226010478,1
22335454010478,1
81665943010478,3
148465580010478,1
139994576010854,2
81666346010478,2
38954274010478,3
139994581010854,2
106339464010478,2
148466238010478,2
38955271010478,3
22302893010478,2
38936024010478,3
106322397010478,1
81653846010478,1
81654001010478,2
22333835010478,3
106297280010478,2
38901762010478,2
175742770010854,2
22337712010478,3
38903176010478,3
148502148010478,2
22337760010478,1
175742781010854,1
175742785010854,2
139994831010854,1
38909266010478,3
38909572010478,2
148503789010478,3
106300005010478,3
81614496010478,3
38878291010478,1
175742552010854,1
38958344010478,1
22332458010478,1
139994621010854,2
106342429010478,3
38960193010478,2
22332519010478,1
175742569010854,3
81669689010478,2
38918394010478,2
38888403010478,1
106267585010478,1
81600225010478,1
38870453010478,3
139994659010854,2
81600868010478,1
175742611010854,2
106275571010478,1
139994680010854,2
175742626010854,2
81602787010478,1
139994688010854,2
22345905010478,3
38877970010478,1
148462898010478,1
139994530010854,3
148496721010478,2
81607069010478,1
106286786010478,1
148497409010478,1
38871113010478,3
139994661010854,1
139994663010854,1
38872093010478,3
38872289010478,1
38872455010478,1
139994668010854,3
139994669010854,2
22345723010478,2
38874036010478,2
106275269010478,3
148491155010478,2
175742615010854,1
38875962010478,3
38876254010478,1
38876491010478,2
148492397010478,3
38917535010478,3
22305864010478,3
106274722010478,1
148502636010478,1
81647736010478,1
22301557010478,1
22342550010478,2
175742926010854,3
106308989010478,3
81626837010478,1
22306422010478,3
22306432010478,3
81660230010478,1
81660287010478,2
22306941010478,2
81661334010478,1
38898803010478,1
22342259010478,3
175742890010854,3
106305807010478,2
148511904010478,2
106306058010478,2
175742895010854,3
148512398010478,2
148512497010478,2
139994935010854,1
139994937010854,3
175742907010854,1
38847190010478,2
148457362010478,1
106324631010478,3
175742341010854,1
